,company_url,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity
436,https://www.screener.in/company/VIJAYA/consolidated/,6803.0,664.0,699.0,349.0,65.8,58.4,0.15,18.4,16.6,1.0,9.27,90.3,48.1,10.2,10.7,4.93,53.4,3.26,0.95,0.42
437,https://www.screener.in/company/MEDANTA/consolidated/,28483.0,1061.0,1076.0,426.0,69.7,98.9,0.0,17.1,16.2,2.0,25.6,149.0,48.1,26.8,21.6,1.39,69.1,4.66,0.99,0.3
438,https://www.screener.in/company/HINDCOPPER/consolidated/,24558.0,254.0,289.0,93.8,76.6,22.6,0.36,18.0,14.7,5.0,13.4,171.0,32.3,96.7,26.3,12.3,56.6,0.63,0.88,0.13
439,https://www.screener.in/company/LTTS/consolidated/,57137.0,5407.0,5568.0,3216.0,43.9,453.0,0.83,32.6,25.0,2.0,15.6,68.1,30.0,10.6,12.6,2.9,60.0,31.8,0.97,0.11
440,https://www.screener.in/company/MCX/consolidated/,16281.0,3193.0,3344.0,1285.0,363.0,261.0,0.6,13.2,10.3,10.0,36.1,148.0,38.7,5.1,8.88,4.51,55.8,-3.74,0.95,0.0
441,https://www.screener.in/company/ISEC/consolidated/,24650.0,764.0,800.0,416.0,17.3,101.0,2.49,18.1,42.3,5.0,28.3,83.4,20.6,32.3,25.7,4.49,57.7,14.4,0.96,3.79
442,https://www.screener.in/company/MARICO/consolidated/,67850.0,524.0,595.0,463.0,48.1,32.6,0.86,41.9,35.8,1.0,0.43,13.4,25.2,129.0,10.1,11.8,42.6,2.73,0.88,0.12
443,https://www.screener.in/company/GODFRYPHLP/consolidated/,11073.0,2129.0,2405.0,1605.0,13.8,729.0,2.07,21.5,18.2,2.0,19.6,32.6,18.0,5.2,7.39,11.5,47.3,38.9,0.89,0.09
444,https://www.screener.in/company/GLAND/consolidated/,32128.0,1950.0,2058.0,861.0,43.8,504.0,0.0,14.8,10.9,1.0,5.85,127.0,31.3,16.5,11.2,5.22,57.2,11.8,0.95,0.04
445,https://www.screener.in/company/ASTERDM/consolidated/,21661.0,434.0,450.0,201.0,66.8,87.6,0.0,9.21,11.0,10.0,19.6,116.0,48.1,50.0,11.3,3.52,67.6,-0.62,0.96,1.37
446,https://www.screener.in/company/CGPOWER/consolidated/,69171.0,453.0,503.0,277.0,79.2,14.6,0.33,61.6,66.0,2.0,18.1,63.8,42.1,153.0,10.9,10.0,48.2,1.59,0.9,0.01
447,https://www.screener.in/company/HINDALCO/consolidated/,124720.0,555.0,621.0,381.0,14.8,443.0,0.54,11.3,11.7,1.0,-1.84,45.6,32.6,225.0,23.6,10.6,43.4,9.77,0.89,0.59
448,https://www.screener.in/company/L&TFH/consolidated/,41418.0,166.0,175.0,79.0,22.8,89.4,1.2,7.56,6.41,10.0,8.65,111.0,22.1,249.0,-3.25,4.86,56.5,2.4,0.95,3.45
449,https://www.screener.in/company/PIIND/consolidated/,50794.0,3356.0,4011.0,2869.0,34.0,526.0,0.3,21.7,18.5,1.0,18.8,17.0,34.0,15.2,24.5,16.3,36.8,31.7,0.84,0.02
450,https://www.screener.in/company/DELHIVERY/consolidated/,29511.0,400.0,452.0,291.0,,124.0,0.0,-11.4,-13.5,1.0,-0.7,37.6,56.3,73.6,37.5,11.5,52.0,-1.4,0.89,0.1
451,https://www.screener.in/company/KIMS/consolidated/,16189.0,2022.0,2230.0,1282.0,47.3,227.0,0.0,23.7,21.3,10.0,31.3,57.8,48.1,8.0,25.1,9.31,60.2,11.5,0.91,0.53
452,https://www.screener.in/company/RATNAMANI/consolidated/,23023.0,3282.0,3939.0,1916.0,37.0,402.0,0.37,27.3,21.0,2.0,29.8,71.3,21.9,7.01,20.1,16.7,41.3,23.4,0.83,0.06
453,https://www.screener.in/company/MCDOWELL-N/consolidated/,77783.0,1069.0,1132.0,731.0,60.6,93.6,0.37,20.0,17.5,2.0,0.03,46.4,29.2,72.7,4.4,5.53,42.2,4.66,0.94,0.03
454,https://www.screener.in/company/IDFCFIRSTB/consolidated/,61036.0,86.4,101.0,52.1,21.0,39.1,0.0,6.59,10.6,10.0,37.1,65.8,14.4,707.0,11.8,14.2,48.4,1.11,0.86,7.8
455,https://www.screener.in/company/SYRMA/consolidated/,10677.0,602.0,705.0,248.0,80.2,88.7,0.25,14.9,11.2,10.0,63.8,142.0,116.0,17.8,33.4,14.7,40.1,1.6,0.85,0.3
456,https://www.screener.in/company/SAPPHIRE/consolidated/,8982.0,1408.0,1568.0,1102.0,43.2,206.0,0.0,9.81,20.7,10.0,16.1,27.7,113.0,6.37,19.1,10.2,48.6,2.41,0.9,0.82
457,https://www.screener.in/company/COFORGE/consolidated/,40022.0,6487.0,6789.0,3565.0,55.2,541.0,0.99,30.8,25.1,10.0,21.3,82.0,39.3,6.18,24.2,4.45,63.0,29.4,0.96,0.36
458,https://www.screener.in/company/CHALET/consolidated/,14793.0,719.0,769.0,331.0,64.4,82.3,0.0,9.22,10.9,10.0,54.1,117.0,39.6,20.5,4.78,6.44,62.7,1.77,0.94,1.76
459,https://www.screener.in/company/SUVENPHAR/consolidated/,17349.0,681.0,768.0,375.0,40.2,76.0,0.15,32.5,24.5,1.0,-5.17,81.5,35.8,25.5,17.1,11.4,44.4,3.13,0.89,0.03
460,https://www.screener.in/company/NLCINDIA/consolidated/,31531.0,227.0,267.0,69.7,16.3,119.0,1.54,13.5,15.5,10.0,14.7,226.0,22.0,139.0,16.1,14.9,54.6,7.82,0.85,1.32
461,https://www.screener.in/company/SHOPERSTOP/consolidated/,7712.0,702.0,890.0,574.0,106.0,21.6,0.0,15.3,80.7,5.0,10.0,22.4,301.0,11.0,5.11,21.0,56.0,3.35,0.79,10.5
462,https://www.screener.in/company/FINCABLES/consolidated/,16225.0,1060.0,1219.0,525.0,25.2,301.0,0.66,15.6,12.2,2.0,11.7,102.0,40.1,15.3,15.9,13.1,54.6,10.1,0.87,0.0
